number,word,spare
1,seat,set
2,sun,
3,sam,
4,sar 21,
5,sail,
6,switch,
7,sock,
8,SAF,surf
9,soap,
10,toes,
11,tit,
12,tin,
13,timtam,
14,tar,
15,tail,
16,torch,
17,teak,
18,tofu,
19,tap,
20,noose,nose
21,net,
22,nun,
23,nemo,
24,nurse,
25,nail,
26,nacho,
27,nike,
28,nerf,
29,nap,
30,moose,
31,mat,
32,man,
33,mom,
34,mars,
35,mail,
36,mocha,mech
37,mookata,
38,mafia,
39,map,
40,rose,
41,rat,
42,rain,
43,ram,
44,ruler,
45,rail,
46,rich,
47,rake,
48,reef,revise
49,rope,rap
50,laser,lazer
51,lot,lottery
52,lan,
53,lamb,
54,liar,
55,lily,
56,leech,
57,leek,
58,leaf,
59,lap,
60,cheese,chess
61,chit,
62,china,chinese
63,charmander,
64,charizard,chair
65,chili,chill
66,church,
67,chalk,
68,chef,
69,chip,
70,gas,
71,gatorade,gate
72,gun,
73,gum,
74,gear,
75,girl,
76,gacha,
77,gang,
78,gift,
79,gap,
80,vest,
81,vet,
82,van,
83,vacuum,
84,var,vr
85,volume,
86,voucher,
87,viking,
88,vivienne,valve
89,vampire,
90,boss,
91,bat,
92,bin,
93,beam,
94,bar,
95,bail,
96,beach,bitch
97,bank,
98,bestfriend',boyfriend
99,barbie,bomb
100,tissue,
